Area,Build status,Boundary / detail
Overall navigation and dashboards,Working alpha,"Responsive LAE Import pages, scoped future-division placeholders."
Vendor Management live integration,Not connected,Local supplier subset only; original VMS source retained and unchanged.
Division / role access,Working alpha,Local server enforces roles and assigned scopes; demo selector is not authentication.
Manual PO and fixed technical version,Working alpha,"Interim package, exact issued snapshot, manager approval and revisions."
Full PLM / template configuration,Deferred,"Dedicated PLM, full lineage/template screens and complaint integration not built."
"PI, approvals and payment terms",Working alpha,"Document upload, verification, manager approval and manually editable milestones."
Payment FX / original-order reconciliation,Working alpha with limits,"Recorded remittance and supplier realization; no bank execution, ledger, refunds/write-off accounting."
"Production, reminders and red flags",Working alpha,"Required remarks, baseline/current dates, recurring tasks and attribution."
"Artwork, pre-dispatch QC",Working alpha,"Approval, supplier evidence, mandatory QC/alteration gates. Post-receipt integration later."
Partial shipment / final BL / port arrival,Working alpha,"Quantities, time comparison, shipment credit dates, operational/financial separation."
Documents / visible edit trail,Working alpha,"Protected server evidence, append-only events, linked correction notes and PO printing."
Estimated vs actual costs,Partial,Typed individual costs retained by currency; allocation/landed-cost engine and accounting posting not complete.
Item-master template import,Working alpha,"XLSX/CSV preview, aliases, row errors, commit, original source and batch audit; binary XLS not supported."
Legacy PO / pipeline import,Deferred,No legacy-order importer yet. Do not use the item template to import orders.
Monthly planning / sales forecasts / CBM,Deferred,User moved this work to a later phase. No duplicate Sales/stock input imposed.
Vendor yearly / overall scoring,Deferred,No rating formula or automatic vendor status change in this alpha.
"ERP, warehouse, finance APIs",Not connected,"No stock, GRN, receipt, finance acknowledgement or financial posting."
"LAE Domestic, Utility, Implements",Deferred,Only the scope identifiers exist; workflows are not complete.
"WhatsApp, email sending, tracking APIs",Not connected,Manual interactions/documents/movement updates only.
Production deployment / security certification,Not performed,"Private review/local pilot. UAT, deployment hardening and native-stack migration still required."
