Edit ID,Software version,Date,Editor,Area,Change type,Before,After / change,Source files,Requirement basis,Test evidence,Commit ID,Management acceptance,Deployment
SW-0001,0.1.0-alpha.1,2026-09-11,AI-assisted build in this conversation,Overall purchase website,New,No previous released Purchase alpha,"Responsive shell, overview, division context, navigation and task dashboard.",web/app.mjs; web/styles.css,Consolidated user requirements and development authorization,TEST_REPORT.md; automated-tests.tap; browser-results.json,,Pending,Not deployed
SW-0002,0.1.0-alpha.1,2026-09-11,AI-assisted build in this conversation,Order transaction controls,New,No previous released Purchase alpha,"PO draft/approval, immutable issue snapshot, amendments and PI validation.",shared/domain.mjs; web/app.mjs,Consolidated user requirements and development authorization,TEST_REPORT.md; automated-tests.tap; browser-results.json,,Pending,Not deployed
SW-0003,0.1.0-alpha.1,2026-09-11,AI-assisted build in this conversation,Payment follow-up,New,No previous released Purchase alpha,"Milestone authorization, shipment allocations, USD/CNY realization and original-order balances.",shared/domain.mjs; web/app.mjs,Consolidated user requirements and development authorization,TEST_REPORT.md; automated-tests.tap; browser-results.json,,Pending,Not deployed
SW-0004,0.1.0-alpha.1,2026-09-11,AI-assisted build in this conversation,"Production, artwork & QC",New,No previous released Purchase alpha,"Supplier commitments, separate artwork approval, alteration checks and dispatch hold.",shared/domain.mjs; web/app.mjs,Consolidated user requirements and development authorization,TEST_REPORT.md; automated-tests.tap; browser-results.json,,Pending,Not deployed
SW-0005,0.1.0-alpha.1,2026-09-11,AI-assisted build in this conversation,Partial shipments,New,No previous released Purchase alpha,"Quantity allocation, baseline/current/actual dates, BL-triggered terms and port arrival.",shared/domain.mjs; web/app.mjs,Consolidated user requirements and development authorization,TEST_REPORT.md; automated-tests.tap; browser-results.json,,Pending,Not deployed
SW-0006,0.1.0-alpha.1,2026-09-11,AI-assisted build in this conversation,Master upload & evidence,New,No previous released Purchase alpha,"Demo-source preservation, explicit base/brand mapping, XLSX/CSV preview and audited commit.",shared/source-items.mjs; shared/seed.mjs; web/app.mjs,Consolidated user requirements and development authorization,TEST_REPORT.md; automated-tests.tap; browser-results.json,,Pending,Not deployed
SW-0007,0.1.0-alpha.1,2026-09-11,AI-assisted build in this conversation,Local pilot service,New,No previous released Purchase alpha,"Authenticated sessions, scoped commands, protected files and SQLite transaction storage.",server/index.mjs; server/store.mjs; scripts/,Consolidated user requirements and development authorization,TEST_REPORT.md; automated-tests.tap; browser-results.json,,Pending,Not deployed
SW-0008,0.1.0-alpha.1,2026-09-11,AI-assisted build in this conversation,Versioning & verification,New and regression fixes,No previous released Purchase alpha,"Portable review packaging, source/register/test records; fixed dialog initialization, PI re-authorization and correction links.",scripts/build.mjs; tests/; docs/; shared/domain.mjs; web/app.mjs,Consolidated user requirements and development authorization,TEST_REPORT.md; automated-tests.tap; browser-results.json,,Pending,Not deployed
SW-0009,0.2.0-alpha.2,2026-09-12,AI-assisted build in this conversation,PLM product control,New,PLM was only a future/integration boundary,Base-product register; category/family/supplier metadata; significant-change successor model lineage.,shared/plm.mjs; shared/seed.mjs; shared/domain.mjs; web/app.mjs,User-authorized PLM build and earlier detailed PLM requirements,TEST_REPORT.md; automated-tests.tap; plm-browser-results.json,cb62aea8d7cef7fac9336f331be148fbee8a2836,Pending,Not deployed
SW-0010,0.2.0-alpha.2,2026-09-12,AI-assisted build in this conversation,PLM technical revisions,New,Interim text specification only,Dynamic category templates; structured revision values; approval/rejection; supporting documents; immutable approved history.,shared/plm.mjs; shared/domain.mjs; web/app.mjs,Product-version/change-control requirements,TEST_REPORT.md; automated-tests.tap; plm-browser-results.json,cb62aea8d7cef7fac9336f331be148fbee8a2836,Pending,Not deployed
SW-0011,0.2.0-alpha.2,2026-09-12,AI-assisted build in this conversation,Brand-specific PLM,New,PO-level artwork existed without a reusable brand-variant master,Base technical spec inherited by brand SKU; decals/packaging/labels stored as delta; separate artwork revisions; Product Manager approval.,shared/seed.mjs; shared/domain.mjs; web/app.mjs,Brand SKU and artwork decisions,TEST_REPORT.md; automated-tests.tap; plm-browser-results.json,cb62aea8d7cef7fac9336f331be148fbee8a2836,Pending,Not deployed
SW-0012,0.2.0-alpha.2,2026-09-12,AI-assisted build in this conversation,PLM UI and regression,New,No PLM dashboard,"Product register, approval queue, templates, brand variants, product detail, audit history and regression/browser checks.",web/app.mjs; web/styles.css; tests/domain.test.mjs; tests/plm_browser_flow.py; scripts/build.mjs,Management request to build PLM module,TEST_REPORT.md; automated-tests.tap; browser-results.json; plm-browser-results.json,cb62aea8d7cef7fac9336f331be148fbee8a2836,Pending,Not deployed
SW-0013,0.3.0-alpha.3,2026-09-12,AI-assisted build in this conversation,Shipping lifecycle gates,New,Shipping workflow covered only basic shipment records,"Mandatory pre-production sample and bulk QC gates; early container booking; separate booking/release states; vessel-loading compliance gate; structured milestone history through India port arrival.",shared/domain.mjs; shared/shipping.mjs; shared/seed.mjs; web/app.mjs,User-authorized Shipping module workflow,TEST_REPORT.md; automated-tests.tap; shipping-browser-results.json,a2daf489a5324944da2a4352f5ad53a1f21a6406,Pending,Not deployed
SW-0014,0.3.0-alpha.3,2026-09-12,AI-assisted build in this conversation,Weekly forwarder tracking import,New,Forwarder updates were manual free-form only,"VJ weekly Excel parser; shipping-agent Ref matching; import preview; append-only tracking events; earliest planned versus revised/current and actual ETD/ETA preservation.",shared/shipping.mjs; shared/domain.mjs; web/app.mjs; templates/reference/VJ_Weekly_Tracking_Sample_08.09.2026.xlsx,User-provided VJ weekly tracking workbook and clarified Ref/date rules,TEST_REPORT.md; shipping-browser-results.json,a2daf489a5324944da2a4352f5ad53a1f21a6406,Pending,Not deployed
